Durations,Credit history,Credit_Purpose,Credit amount,Installment_Rate_Percent,Other debtors / guarantors,Residence_Years,Property,Age in years,Other_Inst_Plans,Housing,Num_Existing_Credits,Job,Liable_People,Telephone,Foreign worker,Checking_Account_Status,Gender,Status,Years_Employments,Saving_Status
18,delayed previously,new car,2899,4,none,4,car,43,none,own,1,skilled,2,none,yes,good,male,single,7 or more years,no savings
24,existing paid,radio/tv,2039,1,none,1,life insurance,22,none,own,1,skilled,1,yes,yes,bad,male,mar/wid,less than 1 year,less than 100
24,critical/other existing credit,used car,2197,4,none,4,car,43,none,own,2,skilled,2,yes,yes,good,male,single,4-6 years,no savings
15,existing paid,radio/tv,1053,4,none,2,real estate,27,none,own,1,skilled,1,none,no,good,male,mar/wid,less than 1 year,less than 100
24,existing paid,radio/tv,3235,3,none,2,car,26,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,div/sep,7 or more years,500-1000
12,critical/other existing credit,new car,939,4,none,2,real estate,28,none,own,3,skilled,1,yes,yes,bad,male,mar/wid,4-6 years,500-1000
24,existing paid,radio/tv,1967,4,none,4,car,20,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
33,critical/other existing credit,used car,7253,3,none,2,car,35,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,4-6 years,less than 100
12,critical/other existing credit,business,2292,4,none,2,car,42,stores,own,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,unemployed,less than 100
10,existing paid,new car,1597,3,none,2,no known property,40,none,rent,1,unskilled_resident,2,none,no,good,male,single,1-3 years,500-1000
24,existing paid,new car,1381,4,none,2,life insurance,35,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,no savings
36,critical/other existing credit,used car,5842,2,none,2,life insurance,35,none,own,2,skilled,2,yes,yes,good,male,single,7 or more years,less than 100
12,existing paid,new car,2579,4,none,1,real estate,33,none,own,1,unskilled_resident,2,none,yes,bad,male,single,less than 1 year,less than 100
18,delayed previously,education,8471,1,none,2,car,23,none,rent,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,no savings
21,existing paid,new car,2782,1,none,2,car,31,bank,own,1,high_qualif_self_emp_mgmt,1,none,yes,good,female,div/dep/mar,4-6 years,500-1000
18,existing paid,new car,1042,4,none,2,life insurance,33,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,no savings
15,existing paid,new car,3186,2,none,3,car,20,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,more than 1000
12,existing paid,used car,2028,4,none,2,car,30,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,no savings
12,critical/other existing credit,new car,958,2,none,3,real estate,47,none,own,2,unskilled_resident,2,none,yes,good,male,single,4-6 years,less than 100
21,delayed previously,furniture/equipment,1591,4,none,3,real estate,34,none,own,2,high_qualif_self_emp_mgmt,1,none,yes,good,male,single,4-6 years,100-500
12,existing paid,furniture/equipment,2762,1,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad,female,div/dep/mar,7 or more years,no savings
18,existing paid,used car,2779,1,none,3,car,21,none,rent,1,skilled,1,yes,yes,good,male,mar/wid,1-3 years,less than 100
28,critical/other existing credit,radio/tv,2743,4,none,2,car,29,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,less than 100
18,critical/other existing credit,radio/tv,1149,4,none,3,real estate,46,none,own,2,skilled,1,none,yes,good,male,single,1-3 years,more than 1000
9,existing paid,furniture/equipment,1313,1,none,4,car,20,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,less than 100
18,critical/other existing credit,repairs,1190,2,none,4,no known property,55,none,for free,3,unemp_unskilled_non_res,2,none,yes,bad,female,div/dep/mar,unemployed,less than 100
5,existing paid,business,3448,1,none,4,real estate,74,none,own,1,unskilled_resident,1,none,yes,good,male,single,4-6 years,less than 100
24,existing paid,other,11328,2,co applicant,3,car,29,bank,own,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,1-3 years,less than 100
6,critical/other existing credit,furniture/equipment,1872,4,none,4,no known property,36,none,for free,3,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,unemployed,less than 100
24,critical/other existing credit,repairs,2058,4,none,2,real estate,33,none,own,2,skilled,1,yes,yes,good,male,div/sep,1-3 years,less than 100
9,existing paid,furniture/equipment,2136,3,none,2,real estate,25,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
12,existing paid,radio/tv,1484,2,none,1,real estate,25,none,own,1,skilled,1,yes,yes,bad,male,mar/wid,1-3 years,no savings
6,existing paid,repairs,660,2,none,4,real estate,23,none,rent,1,unskilled_resident,1,none,yes,good,male,mar/wid,4-6 years,500-1000
24,critical/other existing credit,new car,1287,4,none,4,real estate,37,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,more than 1000
42,critical/other existing credit,repairs,3394,4,co applicant,4,car,65,none,own,2,unemp_unskilled_non_res,1,none,yes,good,male,single,unemployed,less than 100
12,all paid,business,609,4,none,1,real estate,26,none,own,1,unemp_unskilled_non_res,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,new car,1884,4,none,4,car,39,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,less than 100
12,existing paid,furniture/equipment,1620,2,co applicant,3,life insurance,30,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
20,delayed previously,other,2629,2,none,3,car,29,bank,own,2,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
12,existing paid,education,719,4,none,4,car,41,bank,own,1,unskilled_resident,2,none,yes,bad,male,single,7 or more years,less than 100
48,critical/other existing credit,furniture/equipment,5096,2,none,3,car,30,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
9,critical/other existing credit,education,1244,4,none,4,life insurance,41,none,rent,2,unskilled_resident,1,none,yes,good,female,div/dep/mar,7 or more years,no savings
36,existing paid,new car,1842,4,none,4,car,34,none,own,1,skilled,1,yes,yes,bad,female,div/dep/mar,less than 1 year,less than 100
7,existing paid,radio/tv,2576,2,guarantor,2,real estate,35,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
12,existing paid,furniture/equipment,1424,3,none,4,real estate,55,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,7 or more years,no savings
15,delayed previously,repairs,1512,3,none,3,life insurance,61,stores,own,2,skilled,1,none,yes,bad,male,mar/wid,1-3 years,more than 1000
36,critical/other existing credit,used car,11054,4,none,2,car,30,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,1-3 years,no savings
6,existing paid,radio/tv,518,3,none,1,real estate,29,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
12,no credits/all paid,furniture/equipment,2759,2,none,4,life insurance,34,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,less than 100
24,existing paid,used car,2670,4,none,4,car,35,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,less than 100
24,existing paid,new car,4817,2,co applicant,3,life insurance,31,none,own,1,skilled,1,yes,yes,bad,male,single,4-6 years,less than 100
24,existing paid,used car,2679,4,none,1,no known property,29,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,less than 1 year,less than 100
11,critical/other existing credit,new car,3905,2,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good,male,single,1-3 years,less than 100
12,existing paid,used car,3386,3,none,4,no known property,35,none,for free,1,skilled,1,yes,yes,bad,male,single,7 or more years,less than 100
6,existing paid,domestic appliance,343,4,none,1,real estate,27,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
18,existing paid,radio/tv,4594,3,none,2,car,32,none,own,1,skilled,1,yes,yes,good,male,single,less than 1 year,less than 100
36,existing paid,furniture/equipment,3620,1,guarantor,2,life insurance,37,none,own,1,skilled,2,none,yes,good,male,single,1-3 years,less than 100
15,existing paid,new car,1721,2,none,3,real estate,36,none,own,1,skilled,1,none,yes,good,male,single,less than 1 year,less than 100
12,existing paid,furniture/equipment,3017,3,none,1,real estate,34,none,rent,1,high_qualif_self_emp_mgmt,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,retraining,754,4,none,4,life insurance,38,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,no savings
18,existing paid,business,1950,4,none,1,car,34,stores,own,2,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
24,existing paid,used car,2924,3,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,good,male,single,1-3 years,less than 100
24,delayed previously,radio/tv,1659,4,none,2,car,29,none,rent,1,unskilled_resident,1,yes,yes,bad,female,div/dep/mar,less than 1 year,less than 100
48,delayed previously,radio/tv,7238,3,none,3,car,32,bank,own,2,skilled,2,none,yes,good,male,single,7 or more years,no savings
33,delayed previously,business,2764,2,none,2,car,26,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
24,delayed previously,used car,4679,3,none,3,car,35,none,own,2,unskilled_resident,1,yes,yes,good,male,single,4-6 years,less than 100
24,existing paid,radio/tv,3092,3,none,2,car,22,none,rent,1,skilled,1,yes,yes,bad,male,mar/wid,less than 1 year,100-500
6,existing paid,education,448,4,none,4,life insurance,23,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
9,existing paid,new car,654,4,none,3,car,28,none,own,1,unskilled_resident,1,none,yes,bad,male,single,1-3 years,less than 100
6,existing paid,retraining,1238,4,none,4,life insurance,36,none,own,1,high_qualif_self_emp_mgmt,2,yes,yes,good,male,single,unemployed,no savings
18,critical/other existing credit,radio/tv,1245,4,none,2,car,33,none,own,1,skilled,1,none,yes,bad,male,mar/wid,1-3 years,less than 100
18,no credits/all paid,furniture/equipment,3114,1,none,4,life insurance,26,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
39,existing paid,used car,2569,4,none,4,car,24,none,own,1,skilled,1,none,yes,good,male,single,1-3 years,500-1000
24,existing paid,radio/tv,5152,4,none,2,car,25,bank,own,1,skilled,1,none,yes,good,male,single,4-6 years,less than 100
12,existing paid,business,1037,3,none,4,real estate,39,none,own,1,unskilled_resident,1,none,yes,good,male,single,4-6 years,100-500
15,critical/other existing credit,furniture/equipment,1478,4,none,4,car,44,none,own,2,skilled,2,yes,yes,good,male,single,7 or more years,less than 100
12,critical/other existing credit,radio/tv,3573,1,none,1,real estate,23,none,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
24,existing paid,new car,1201,4,none,1,life insurance,26,none,own,1,skilled,1,none,yes,good,male,single,less than 1 year,less than 100
30,existing paid,furniture/equipment,3622,4,none,4,life insurance,57,none,rent,2,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,more than 1000
15,delayed previously,furniture/equipment,960,3,none,2,life insurance,30,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,more than 1000
12,critical/other existing credit,new car,1163,4,none,4,real estate,44,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,500-1000
6,delayed previously,new car,1209,4,none,4,life insurance,47,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,unemployed,less than 100
12,existing paid,radio/tv,3077,2,none,4,car,52,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,less than 100
24,existing paid,new car,3757,4,co applicant,4,no known property,62,none,for free,1,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
10,existing paid,new car,1418,3,none,2,real estate,35,none,rent,1,unskilled_resident,1,none,no,good,male,single,1-3 years,100-500
6,existing paid,new car,3518,2,guarantor,3,life insurance,26,none,rent,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
12,critical/other existing credit,radio/tv,1934,2,none,2,no known property,26,none,own,2,skilled,1,none,yes,good,male,single,7 or more years,less than 100
27,no credits/all paid,business,8318,2,none,4,no known property,42,none,for free,2,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,7 or more years,less than 100
6,critical/other existing credit,radio/tv,1237,1,none,1,life insurance,27,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,100-500
6,existing paid,radio/tv,368,4,none,4,life insurance,38,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,no savings
12,critical/other existing credit,new car,2122,3,none,2,real estate,39,none,rent,2,unskilled_resident,2,none,no,good,male,single,1-3 years,less than 100
24,existing paid,furniture/equipment,2996,2,none,4,car,20,none,own,1,skilled,1,none,yes,bad,male,mar/wid,1-3 years,no savings
36,existing paid,furniture/equipment,9034,4,co applicant,1,no known property,29,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,less than 1 year,100-500
24,critical/other existing credit,furniture/equipment,1585,4,none,3,life insurance,40,none,own,2,skilled,1,none,yes,good,male,single,4-6 years,less than 100
18,existing paid,radio/tv,1301,4,guarantor,2,real estate,32,none,own,1,unskilled_resident,1,none,yes,good,male,mar/wid,7 or more years,less than 100
6,critical/other existing credit,new car,1323,2,none,4,car,28,none,own,2,skilled,2,yes,yes,good,male,div/sep,7 or more years,100-500
24,existing paid,new car,3123,4,none,1,life insurance,27,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
36,existing paid,used car,5493,2,none,4,no known property,42,none,for free,1,skilled,2,none,yes,good,male,single,7 or more years,less than 100
9,existing paid,radio/tv,1126,2,none,4,real estate,49,none,own,1,skilled,1,none,yes,good,male,div/sep,7 or more years,100-500
24,critical/other existing credit,radio/tv,1216,4,none,4,no known property,38,bank,own,2,skilled,2,none,yes,bad,male,single,less than 1 year,100-500
24,existing paid,new car,1207,4,none,4,life insurance,24,none,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,less than 100
10,existing paid,new car,1309,4,guarantor,4,life insurance,27,none,own,1,unskilled_resident,1,none,yes,bad,male,single,1-3 years,no savings
15,critical/other existing credit,used car,2360,2,none,2,car,36,none,own,1,skilled,1,yes,yes,good,male,single,1-3 years,500-1000
15,all paid,new car,6850,1,none,2,life insurance,34,none,own,1,high_qualif_self_emp_mgmt,2,yes,yes,bad,male,single,unemployed,100-500
24,existing paid,radio/tv,1413,4,none,2,life insurance,28,none,own,1,skilled,1,none,yes,good,male,mar/wid,1-3 years,less than 100
39,existing paid,used car,8588,4,none,2,car,45,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,7 or more years,100-500
12,existing paid,new car,759,4,none,2,real estate,26,none,own,1,skilled,1,none,yes,bad,male,single,4-6 years,less than 100
36,existing paid,used car,4686,2,none,2,no known property,32,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,1-3 years,less than 100
15,existing paid,business,2687,2,none,4,life insurance,26,none,rent,1,skilled,1,yes,yes,good,male,single,4-6 years,less than 100
12,delayed previously,radio/tv,585,4,co applicant,4,real estate,20,none,rent,2,skilled,1,none,yes,good,male,mar/wid,1-3 years,less than 100
24,existing paid,new car,2255,4,none,1,life insurance,54,none,own,1,skilled,1,none,yes,good,male,single,less than 1 year,no savings
6,critical/other existing credit,new car,609,4,none,3,life insurance,37,none,own,2,skilled,1,none,no,good,female,div/dep/mar,4-6 years,less than 100
6,critical/other existing credit,new car,1361,2,none,4,real estate,40,none,own,1,unskilled_resident,2,none,no,good,male,single,less than 1 year,less than 100
36,critical/other existing credit,furniture/equipment,7127,2,none,4,life insurance,23,none,rent,2,skilled,1,yes,yes,bad,female,div/dep/mar,less than 1 year,less than 100
6,existing paid,new car,1203,3,none,2,life insurance,43,none,own,1,skilled,1,yes,yes,good,male,single,7 or more years,100-500
6,critical/other existing credit,radio/tv,700,4,none,4,no known property,36,none,for free,2,skilled,1,none,yes,good,male,single,7 or more years,no savings
24,critical/other existing credit,repairs,5507,3,none,4,no known property,44,none,for free,2,skilled,1,none,yes,good,male,single,7 or more years,less than 100
18,existing paid,radio/tv,3190,2,none,2,real estate,24,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
48,no credits/all paid,furniture/equipment,7119,3,none,4,no known property,53,none,for free,2,skilled,2,none,yes,bad,male,single,1-3 years,less than 100
24,existing paid,used car,3488,3,none,4,car,23,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,100-500
18,existing paid,radio/tv,1113,4,guarantor,4,real estate,26,none,own,1,unskilled_resident,2,none,yes,good,female,div/dep/mar,1-3 years,less than 100
26,existing paid,used car,7966,2,none,3,car,30,none,own,2,skilled,1,none,yes,good,male,single,less than 1 year,less than 100
15,critical/other existing credit,education,1532,4,none,3,car,31,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,100-500
4,critical/other existing credit,radio/tv,1503,2,none,1,real estate,42,none,own,2,unskilled_resident,2,none,yes,good,male,single,4-6 years,less than 100
36,existing paid,radio/tv,2302,4,none,4,car,31,none,rent,1,skilled,1,none,yes,bad,male,div/sep,1-3 years,less than 100
6,existing paid,new car,662,3,none,4,real estate,41,none,own,1,unskilled_resident,2,yes,yes,good,male,single,less than 1 year,less than 100
36,existing paid,education,2273,3,none,1,car,32,none,own,2,skilled,2,none,yes,good,male,single,4-6 years,less than 100
15,existing paid,new car,2631,2,none,4,car,28,none,rent,2,skilled,1,yes,yes,bad,female,div/dep/mar,1-3 years,100-500
12,delayed previously,used car,1503,4,none,4,real estate,41,none,rent,1,skilled,1,none,yes,good,male,mar/wid,1-3 years,less than 100
24,existing paid,radio/tv,1311,4,none,3,life insurance,26,none,own,1,skilled,1,yes,yes,good,male,mar/wid,4-6 years,100-500
24,existing paid,radio/tv,3105,4,none,2,car,25,none,own,2,skilled,1,none,yes,good,male,single,less than 1 year,no savings
21,critical/other existing credit,education,2319,2,none,1,car,33,none,rent,1,skilled,1,none,yes,bad,male,div/sep,less than 1 year,less than 100
6,existing paid,new car,1374,4,none,3,life insurance,75,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,unemployed,no savings
18,critical/other existing credit,furniture/equipment,3612,3,none,4,life insurance,37,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,7 or more years,less than 100
48,existing paid,new car,7763,4,none,4,no known property,42,bank,for free,1,high_qualif_self_emp_mgmt,1,none,yes,bad,male,single,7 or more years,less than 100
18,existing paid,furniture/equipment,3049,1,none,1,life insurance,45,stores,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
12,existing paid,radio/tv,1534,1,none,1,real estate,23,none,rent,1,skilled,1,none,yes,bad,male,mar/wid,less than 1 year,less than 100
24,delayed previously,new car,2032,4,none,4,no known property,60,none,for free,2,skilled,1,yes,yes,good,male,single,7 or more years,less than 100
30,existing paid,furniture/equipment,6350,4,none,4,life insurance,31,none,own,1,skilled,1,none,yes,bad,male,single,7 or more years,no savings
18,existing paid,furniture/equipment,2864,2,none,1,real estate,34,none,own,1,unskilled_resident,2,none,yes,bad,male,single,1-3 years,less than 100
12,critical/other existing credit,new car,1255,4,none,4,real estate,61,none,own,2,unskilled_resident,1,none,yes,good,male,single,7 or more years,less than 100
24,delayed previously,new car,1333,4,none,2,real estate,43,none,for free,2,skilled,2,none,yes,bad,male,single,unemployed,less than 100
24,critical/other existing credit,new car,2022,4,none,4,car,37,none,own,1,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,less than 100
24,existing paid,radio/tv,1552,3,none,1,car,32,bank,own,1,skilled,2,none,yes,good,male,single,4-6 years,less than 100
12,all paid,radio/tv,626,4,none,4,real estate,24,bank,own,1,unskilled_resident,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
48,critical/other existing credit,used car,8858,2,none,1,no known property,35,none,for free,2,skilled,1,yes,yes,good,male,single,4-6 years,no savings
12,critical/other existing credit,repairs,996,4,none,4,real estate,23,none,own,2,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,no savings
6,all paid,radio/tv,1750,2,none,4,life insurance,45,bank,own,1,unskilled_resident,2,none,yes,good,male,single,7 or more years,500-1000
48,existing paid,radio/tv,6999,1,guarantor,1,real estate,34,none,own,2,skilled,1,yes,yes,bad,male,mar/wid,4-6 years,less than 100
12,critical/other existing credit,new car,1995,4,none,1,car,27,none,own,1,skilled,1,none,yes,good,male,single,less than 1 year,100-500
9,existing paid,education,1199,4,none,4,life insurance,67,none,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,4-6 years,less than 100
12,existing paid,radio/tv,1331,2,none,1,car,22,stores,own,1,skilled,1,none,yes,bad,male,single,less than 1 year,less than 100
18,no credits/all paid,new car,2278,3,none,3,car,28,none,own,2,skilled,1,none,yes,bad,female,div/dep/mar,less than 1 year,100-500
21,no credits/all paid,new car,5003,1,none,4,life insurance,29,bank,own,2,skilled,1,yes,yes,bad,female,div/dep/mar,1-3 years,no savings
24,all paid,furniture/equipment,3552,3,none,4,car,27,bank,own,1,skilled,1,none,yes,bad,male,single,4-6 years,less than 100
18,critical/other existing credit,furniture/equipment,1928,2,none,2,real estate,31,none,own,2,unskilled_resident,1,none,yes,bad,male,single,less than 1 year,less than 100
24,existing paid,used car,2964,4,none,4,no known property,49,bank,for free,1,skilled,2,yes,yes,good,male,single,7 or more years,no savings
24,all paid,radio/tv,1546,4,guarantor,4,car,24,bank,rent,1,unskilled_resident,1,none,yes,bad,male,single,4-6 years,less than 100
6,delayed previously,radio/tv,683,2,none,1,life insurance,29,bank,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
36,existing paid,new car,12389,1,none,4,no known property,37,none,for free,1,skilled,1,yes,yes,bad,male,single,1-3 years,no savings
24,delayed previously,business,4712,4,none,2,life insurance,37,bank,own,2,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,1-3 years,no savings
24,delayed previously,radio/tv,1553,3,none,2,life insurance,23,none,rent,2,skilled,1,yes,yes,good,female,div/dep/mar,4-6 years,100-500
12,existing paid,new car,1372,2,none,3,car,36,none,own,1,skilled,1,none,yes,bad,male,div/sep,4-6 years,less than 100
24,critical/other existing credit,radio/tv,2578,2,none,2,car,34,none,own,1,skilled,1,none,yes,good,male,single,7 or more years,more than 1000
48,existing paid,radio/tv,3979,4,none,1,car,41,none,own,2,skilled,2,yes,yes,good,male,single,4-6 years,no savings
48,existing paid,radio/tv,6758,3,none,2,car,31,none,own,1,skilled,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
24,existing paid,furniture/equipment,3234,4,none,4,real estate,23,none,rent,1,unskilled_resident,1,yes,yes,bad,female,div/dep/mar,less than 1 year,less than 100
30,critical/other existing credit,radio/tv,5954,3,co applicant,2,car,38,none,own,1,skilled,1,none,yes,good,male,single,4-6 years,less than 100
24,existing paid,used car,5433,2,none,4,life insurance,26,none,rent,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,unemployed,no savings
15,existing paid,business,806,4,none,4,life insurance,22,none,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
9,existing paid,radio/tv,1082,4,none,4,car,27,none,own,2,unskilled_resident,1,none,yes,good,male,single,7 or more years,less than 100
15,critical/other existing credit,furniture/equipment,2788,2,co applicant,3,car,24,bank,own,2,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
12,existing paid,radio/tv,2930,2,none,1,real estate,27,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,4-6 years,less than 100
24,critical/other existing credit,education,1927,3,none,2,car,33,none,own,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,no savings
36,critical/other existing credit,new car,2820,4,none,4,car,27,none,own,2,skilled,1,none,yes,bad,male,div/sep,less than 1 year,less than 100
24,existing paid,retraining,937,4,none,3,car,27,none,own,2,unskilled_resident,1,none,yes,good,male,mar/wid,less than 1 year,less than 100
18,critical/other existing credit,new car,1056,3,guarantor,3,real estate,30,bank,own,2,skilled,1,none,yes,bad,male,single,7 or more years,less than 100
12,critical/other existing credit,new car,3124,1,none,3,real estate,49,bank,own,2,unskilled_resident,2,none,yes,good,male,single,less than 1 year,less than 100
9,existing paid,furniture/equipment,1388,4,none,2,real estate,26,none,rent,1,skilled,1,none,yes,good,female,div/dep/mar,1-3 years,less than 100
36,existing paid,repairs,2384,4,none,1,no known property,33,none,rent,1,unskilled_resident,1,none,yes,bad,male,single,less than 1 year,less than 100
12,existing paid,new car,2133,4,none,4,no known property,52,none,for free,1,high_qualif_self_emp_mgmt,1,yes,yes,good,female,div/dep/mar,7 or more years,no savings
18,existing paid,furniture/equipment,2039,1,none,4,real estate,20,bank,rent,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
9,critical/other existing credit,new car,2799,2,none,2,real estate,36,none,rent,2,skilled,2,none,yes,good,male,single,1-3 years,less than 100
12,existing paid,furniture/equipment,1289,4,guarantor,1,life insurance,21,none,own,1,unskilled_resident,1,none,yes,good,male,single,1-3 years,less than 100
18,existing paid,domestic appliance,1217,4,none,3,real estate,47,none,own,1,unskilled_resident,1,yes,yes,bad,male,mar/wid,1-3 years,less than 100
12,critical/other existing credit,furniture/equipment,2246,3,none,3,life insurance,60,none,own,2,skilled,1,none,yes,bad,male,single,7 or more years,less than 100
12,critical/other existing credit,radio/tv,385,4,none,3,real estate,58,none,own,4,unskilled_resident,1,yes,yes,good,female,div/dep/mar,4-6 years,less than 100
24,delayed previously,new car,1965,4,none,4,car,42,none,rent,2,skilled,1,yes,yes,good,female,div/dep/mar,1-3 years,no savings
21,existing paid,business,1572,4,none,4,real estate,36,bank,own,1,unskilled_resident,1,none,yes,good,female,div/dep/mar,7 or more years,more than 1000
24,existing paid,new car,2718,3,none,4,life insurance,20,none,rent,1,unskilled_resident,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
24,all paid,other,1358,4,none,3,car,40,stores,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,male,single,7 or more years,no savings
6,all paid,new car,931,1,none,1,life insurance,32,stores,own,1,unskilled_resident,1,none,yes,bad,female,div/dep/mar,less than 1 year,100-500
24,existing paid,new car,1442,4,none,4,car,23,none,rent,2,skilled,1,none,yes,bad,female,div/dep/mar,4-6 years,less than 100
24,no credits/all paid,business,4241,1,none,4,real estate,36,none,own,3,unskilled_resident,1,yes,yes,bad,male,single,1-3 years,less than 100
18,critical/other existing credit,new car,2775,2,none,2,life insurance,31,bank,own,2,skilled,1,none,yes,bad,male,single,4-6 years,less than 100
24,delayed previously,business,3863,1,none,2,no known property,32,none,for free,1,skilled,1,none,yes,good,male,single,1-3 years,less than 100
7,existing paid,radio/tv,2329,1,guarantor,1,real estate,45,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
9,existing paid,furniture/equipment,918,4,none,1,life insurance,30,none,own,1,skilled,1,none,yes,bad,female,div/dep/mar,1-3 years,less than 100
24,all paid,education,1837,4,none,4,no known property,34,bank,for free,1,unskilled_resident,1,none,yes,bad,female,div/dep/mar,4-6 years,less than 100
36,existing paid,furniture/equipment,3349,4,none,2,car,28,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,bad,female,div/dep/mar,1-3 years,less than 100
10,existing paid,furniture/equipment,1275,4,none,2,life insurance,23,none,own,1,skilled,1,none,yes,good,female,div/dep/mar,less than 1 year,less than 100
24,all paid,furniture/equipment,2828,4,none,4,real estate,22,stores,own,1,skilled,1,yes,yes,good,male,single,1-3 years,500-1000
24,critical/other existing credit,business,4526,3,none,2,real estate,74,none,own,1,high_qualif_self_emp_mgmt,1,yes,yes,good,male,single,1-3 years,less than 100
